marketName,action,usdcAmount,tokenAmount,tokenName,timestamp,hash
"Bitcoin Up or Down - March 21, 3:35AM-3:40AM ET",Redeem,15.41764,15.41764,,1774369611,0x3a3b9563a1952814ce9f84d27f950c77af811304ed04e7f67b83df73f0014c58
"Bitcoin Up or Down - March 21, 3:25AM-3:30AM ET",Redeem,20,20,,1774369611,0x3a3b9563a1952814ce9f84d27f950c77af811304ed04e7f67b83df73f0014c58
"Bitcoin Up or Down - March 21, 1:05PM-1:10PM ET",Buy,1,7.47497,Up,1774112805,0xecb13332e88bff50a8cfd60595cd0362098d6f45f321ed1b859738b5da7f5964
"Bitcoin Up or Down - March 21, 3:35AM-3:40AM ET",Buy,9.999999,48.422645,Up,1774078735,0x23c211c1ebdc3a62803ea55083da9abe70141128a39d097dbb42adffb68a2b78
"Bitcoin Up or Down - March 21, 3:35AM-3:40AM ET",Buy,10,15.41764,Down,1774078539,0x6cf997dd9b8c58dd9409bf17f11a181778f9645e6bb3f00998fde5f232647e48
"Bitcoin Up or Down - March 21, 3:30AM-3:35AM ET",Buy,1,49.9952,Up,1774078399,0x41dc1e6c57a53d855458f6c5505ace0975a17cf68be9c82975a0217607a7513a
"Bitcoin Up or Down - March 21, 3:30AM-3:35AM ET",Buy,10,199.88719,Up,1774078387,0xa78ba2d0b2c1eb63841206be1c74011e11f4ce45b0e8bb9f5c7c2aad11a2ccfd
"Bitcoin Up or Down - March 21, 3:30AM-3:35AM ET",Buy,9,99.83231,Up,1774078371,0x72744f4a5ced4542af5c6a0856fb6d0c9f1a2a4472559aaaf858064c7f87f1f0
"Bitcoin Up or Down - March 21, 3:30AM-3:35AM ET",Buy,9.999999,34.117287,Up,1774078251,0x8f9f8ef22af21934934844761fe9918766f0c694c704f2f1476023ba90e86a71
"Bitcoin Up or Down - March 21, 3:25AM-3:30AM ET",Buy,8.5,10,Up,1774078147,0x43ad2d6eb9df566b41f79253edb0a325a81cbcedc26d2513f1fa28a519467bb1
"Bitcoin Up or Down - March 21, 3:25AM-3:30AM ET",Buy,5.6355,6.63,Up,1774078147,0xdd01d572bd1db624e522da58c5dcc12aef2cc1c4874e1fb2f198547afb45f61e
"Bitcoin Up or Down - March 21, 3:25AM-3:30AM ET",Buy,2.8645,3.37,Up,1774078147,0xddde5ab3d5b0f442f302ec00baf57c90758c1a6bcd4e6e5d9e053c851179120c
"Bitcoin Up or Down - March 20, 12:20AM-12:25AM ET",Redeem,0,0,,1773980993,0x10d77b7087dcacdca768ca1a7d7f3075928118119c17a6c530f42e23b575e4aa
"Bitcoin Up or Down - March 20, 12:20AM-12:25AM ET",Redeem,5.153543,5.153543,,1773980985,0xce318f85acdf3bb580d4c14e251452ca1571d465d8c7e7cb9153317ea43c107c
"Bitcoin Up or Down - March 20, 12:25AM-12:30AM ET",Sell,3.93903,4.83,Up,1773980967,0xf16c6a7c649f0c5a1385d31564ad8852128a94d0d71eb55f58a352a5c3d9750b
"Bitcoin Up or Down - March 20, 12:25AM-12:30AM ET",Buy,0.999999,2.5950670000000002,Up,1773980875,0x7811e84a1fcdb5c9f5b79484201d78e34ba00c841079bd28749ad99be3f5ab98
"Bitcoin Up or Down - March 20, 12:25AM-12:30AM ET",Buy,0.999999,2.238236,Up,1773980739,0xe379c8a86a85344a4c305aad469df540cd136c1e0e224b4835ac60fd76b79766
